,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
time,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,3.0,4.0,5.0,5.5,5.8
acc_label_h,0.5646666666666667,0.5826666666666667,0.5906666666666667,0.59,0.6053333333333333,0.6066666666666667,0.61,0.616,0.6186666666666667,0.622,0.6246666666666667,0.6246666666666667,0.622,0.622,0.6253333333333333,0.6213333333333333,0.6286666666666667,0.632,0.6246666666666667,0.6266666666666667,0.6466666666666666,0.6446666666666667,0.65,0.6553333333333333,0.66
acc_label_e,0.6146666666666667,0.6286666666666667,0.6213333333333333,0.6166666666666667,0.614,0.6146666666666667,0.614,0.6146666666666667,0.6153333333333333,0.614,0.6153333333333333,0.6153333333333333,0.6126666666666667,0.6093333333333333,0.606,0.608,0.6073333333333333,0.608,0.608,0.6066666666666667,0.608,0.6106666666666667,0.614,0.6146666666666667,0.614
acc_label_x,0.7646666666666667,0.7633333333333333,0.766,0.7653333333333333,0.766,0.7666666666666667,0.77,0.7686666666666667,0.7693333333333333,0.7693333333333333,0.768,0.766,0.7673333333333333,0.7666666666666667,0.7686666666666667,0.7686666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7673333333333333,0.7646666666666667,0.7653333333333333,0.7653333333333333,0.7646666666666667,0.7646666666666667
acc_label_a,0.732,0.73,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7346666666666667,0.736,0.7353333333333333,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.7346666666666667,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
acc_label_c,0.63,0.6286666666666667,0.6326666666666667,0.6453333333333333,0.6533333333333333,0.652,0.656,0.6573333333333333,0.6646666666666666,0.658,0.6546666666666666,0.6553333333333333,0.662,0.6646666666666666,0.6653333333333333,0.666,0.664,0.662,0.66,0.658,0.66,0.668,0.6673333333333333,0.6646666666666666,0.668
acc_label_o,0.5846666666666667,0.5946666666666667,0.6033333333333334,0.6133333333333333,0.6333333333333333,0.6246666666666667,0.6346666666666667,0.63,0.622,0.626,0.632,0.632,0.6326666666666667,0.6353333333333333,0.6406666666666667,0.6406666666666667,0.6426666666666667,0.65,0.652,0.6526666666666666,0.6573333333333333,0.6633333333333333,0.672,0.6686666666666666,0.6693333333333333
sco_label_h,0.396,0.42000000000000004,0.41866666666666663,0.414,0.42000000000000004,0.4246666666666667,0.41866666666666663,0.4173333333333334,0.406,0.4066666666666666,0.40933333333333327,0.404,0.4086666666666667,0.39666666666666667,0.3906666666666666,0.39333333333333326,0.38999999999999996,0.39533333333333337,0.394,0.398,0.40066666666666667,0.40800000000000003,0.42333333333333334,0.42333333333333334,0.4126666666666667
sco_label_e,0.5726666666666667,0.5733333333333335,0.5726666666666667,0.5753333333333333,0.5793333333333333,0.5840000000000001,0.5766666666666667,0.5773333333333334,0.5780000000000001,0.5826666666666667,0.5833333333333333,0.582,0.5800000000000001,0.5820000000000001,0.588,0.5906666666666667,0.5906666666666667,0.5906666666666667,0.5913333333333333,0.5940000000000001,0.5900000000000001,0.5873333333333334,0.5900000000000001,0.5873333333333333,0.588
sco_label_x,0.7613333333333333,0.756,0.7566666666666666,0.7573333333333333,0.7579999999999999,0.7573333333333333,0.7579999999999999,0.7586666666666666,0.7586666666666667,0.7573333333333333,0.758,0.7606666666666666,0.7593333333333333,0.7613333333333333,0.7613333333333333,0.7606666666666667,0.7613333333333333,0.7613333333333333,0.7613333333333333,0.7606666666666666,0.7626666666666666,0.762,0.7593333333333333,0.7606666666666666,0.762
sco_label_a,0.72,0.7120000000000001,0.7126666666666667,0.7126666666666666,0.714,0.718,0.7206666666666667,0.7186666666666667,0.718,0.7193333333333334,0.72,0.7226666666666667,0.7226666666666667,0.722,0.7213333333333333,0.7213333333333333,0.722,0.7206666666666667,0.7226666666666667,0.724,0.7246666666666667,0.7246666666666666,0.7253333333333334,0.7246666666666666,0.7246666666666666
sco_label_c,0.5826666666666668,0.6026666666666667,0.61,0.6120000000000001,0.6146666666666667,0.6226666666666667,0.6239999999999999,0.6233333333333333,0.6160000000000001,0.6120000000000001,0.6133333333333333,0.6166666666666667,0.6206666666666667,0.6233333333333334,0.6186666666666667,0.626,0.6233333333333333,0.6193333333333333,0.6166666666666668,0.6180000000000001,0.6226666666666667,0.6333333333333334,0.6366666666666666,0.6380000000000001,0.6413333333333333
sco_label_o,0.4893333333333333,0.5033333333333334,0.5213333333333333,0.53,0.532,0.5313333333333332,0.5326666666666666,0.5186666666666666,0.5206666666666667,0.5253333333333334,0.5293333333333333,0.5286666666666667,0.5286666666666667,0.5333333333333333,0.5319999999999999,0.5319999999999999,0.54,0.5366666666666666,0.5413333333333334,0.5426666666666666,0.5566666666666666,0.5693333333333334,0.568,0.5793333333333334,0.5686666666666667
